Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Matched, 0006CFAE,72,48, 0006CFFB,72,48
Replaced, 0006CFF6,9,9, 0006D043,9,9
Matched, 0006CFFF,145,91, 0006D04C,145,91
Replaced, 0006D090,470, 01D6, 0006D0DD,470, 01D6
Matched, 0006D266,42, 2A, 0006D2B3,42, 2A
Replaced, 0006D290,1,1, 0006D2DD,1,1
Matched, 0006D291,56,38, 0006D2DE,56,38
Replaced, 0006D2C9,1,1, 0006D316,1,1
Matched, 0006D2CA,67,43, 0006D317,67,43
Replaced, 0006D30D,1,1, 0006D35A,1,1
Matched, 0006D30E,72,48, 0006D35B,72,48
Replaced, 0006D356,1,1, 0006D3A3,1,1
Matched, 0006D357,45, 2D, 0006D3A4,45, 2D
Replaced, 0006D384,1,1, 0006D3D1,1,1
Matched, 0006D385,185, B9, 0006D3D2,185, B9
Replaced, 0006D43E,24,18, 0006D48B,24,18
Matched, 0006D456,35,23, 0006D4A3,35,23
Replaced, 0006D479,15, 0F, 0006D4C6,15, 0F
Matched, 0006D488,35,23, 0006D4D5,35,23
Replaced, 0006D4AB,15, 0F, 0006D4F8,15, 0F
Matched, 0006D4BA,35,23, 0006D507,35,23
Replaced, 0006D4DD,57,39, 0006D52A,57,39
Matched, 0006D516,35,23, 0006D563,35,23
Replaced, 0006D539,15, 0F, 0006D586,15, 0F
Matched, 0006D548,35,23, 0006D595,35,23
Replaced, 0006D56B,15, 0F, 0006D5B8,15, 0F
Matched, 0006D57A,35,23, 0006D5C7,35,23
Replaced, 0006D59D,1,1, 0006D5EA,1,1
Matched, 0006D59E,40,28, 0006D5EB,40,28
Replaced, 0006D5C6,1,1, 0006D613,1,1
Matched, 0006D5C7,71,47, 0006D614,71,47
Replaced, 0006D60E,1,1, 0006D65B,1,1
Matched, 0006D60F,43, 2B, 0006D65C,43, 2B
Replaced, 0006D63A,92, 5C, 0006D687,92, 5C
Matched, 0006D696,57,39, 0006D6E3,57,39
Replaced, 0006D6CF,56,38, 0006D71C,56,38
Matched, 0006D707,56,38, 0006D754,56,38
Replaced, 0006D73F,68,44, 0006D78C,68,44
Matched, 0006D783,44, 2C, 0006D7D0,44, 2C
Replaced, 0006D7AF,57,39, 0006D7FC,57,39
Matched, 0006D7E8,44, 2C, 0006D835,44, 2C
Replaced, 0006D814,109, 6D, 0006D861,109, 6D
Matched, 0006D881,69,45, 0006D8CE,69,45
Replaced, 0006D8C6,27, 1B, 0006D913,27, 1B
Matched, 0006D8E1,54,36, 0006D92E,54,36
Replaced, 0006D917,1,1, 0006D964,1,1
Matched, 0006D918,48,30, 0006D965,48,30
Replaced, 0006D948,136,88, 0006D995,136,88
Matched, 0006D9D0,71,47, 0006DA1D,71,47
Replaced, 0006DA17,1,1, 0006DA64,1,1
Matched, 0006DA18,78, 4E, 0006DA65,78, 4E
Replaced, 0006DA66,220, DC, 0006DAB3,35,23
Matched, 0006DB42,34,22, 0006DAD6,34,22
Deleted, 0006DB64,0,0, 0006DAF8,185, B9
Matched, 0006DB64,37,25, 0006DBB1,37,25
Replaced, 0006DB89,1,1, 0006DBD6,1,1
Matched, 0006DB8A,78, 4E, 0006DBD7,78, 4E
Replaced, 0006DBD8,35,23, 0006DC25,35,23
Matched, 0006DBFB,71,47, 0006DC48,71,47
Replaced, 0006DC42,1,1, 0006DC8F,1,1
Matched, 0006DC43,112,70, 0006DC90,112,70
Replaced, 0006DCB3,68,44, 0006DD00,68,44
Matched, 0006DCF7,73,49, 0006DD44,73,49
Replaced, 0006DD40,1,1, 0006DD8D,1,1
Matched, 0006DD41,38,26, 0006DD8E,38,26
Replaced, 0006DD67,1,1, 0006DDB4,1,1
Matched, 0006DD68,295,127, 0006DDB5,295,127
Replaced, 0006DE8F,1,1, 0006DEDC,1,1
Matched, 0006DE90,152,98, 0006DEDD,152,98
Replaced, 0006DF28,1,1, 0006DF75,1,1
Matched, 0006DF29,212, D4, 0006DF76,212, D4
Replaced, 0006DFFD,1,1, 0006E04A,1,1
Matched, 0006DFFE,49,31, 0006E04B,49,31
Replaced, 0006E02F,45, 2D, 0006E07C,45, 2D
Matched, 0006E05C,45, 2D, 0006E0A9,45, 2D
Replaced,6.00E+89,62, 3E, 0006E0D6,62, 3E
Matched, 0006E0C7,47, 2F,6.00E+114,47, 2F
Replaced, 0006E0F6,59, 3B,6.00E+143,59, 3B
Matched,6.00E+131,887,377, 0006E17E,887,377
Replaced, 0006E4A8,1,1, 0006E4F5,1,1
Matched, 0006E4A9,54,36, 0006E4F6,54,36
Replaced, 0006E4DF,33,21, 0006E52C,33,21
Matched, 0006E500,96,60, 0006E54D,96,60
Replaced, 0006E560,23,17, 0006E5AD,23,17
Matched, 0006E577,67,43, 0006E5C4,67,43
Replaced, 0006E5BA,28, 1C, 0006E607,28, 1C
Matched, 0006E5D6,87,57, 0006E623,87,57
Replaced, 0006E62D,5,5, 0006E67A,5,5
Matched, 0006E632,103,67, 0006E67F,103,67
Replaced, 0006E699,8,8, 0006E6E6,8,8
Matched, 0006E6A1,208, D0, 0006E6EE,208, D0
Replaced, 0006E771,23,17, 0006E7BE,23,17
Matched, 0006E788,85,55, 0006E7D5,85,55
Replaced, 0006E7DD,68,44, 0006E82A,68,44
Matched, 0006E821,146,92, 0006E86E,146,92
