c01cbf stz $0200,x   [000227] A:b1d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H:  56 F:15
c01cc2 inx                    A:b1d1 X:0027 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H:  88 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 100 F:15
c01cbf stz $0200,x   [000228] A:b1d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 118 F:15
c01cc2 inx                    A:b1d1 X:0028 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 150 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 162 F:15
c01cbf stz $0200,x   [000229] A:b1d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 180 F:15
c01cc2 inx                    A:b1d1 X:0029 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 212 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 224 F:15
c01cbf stz $0200,x   [00022a] A:b1d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 242 F:15
c01cc2 inx                    A:b1d1 X:002a Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 274 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 286 F:15
c01cbf stz $0200,x   [00022b] A:b1d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 304 F:15
c01cc2 inx                    A:b1d1 X:002b Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 336 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 348 F:15
c01cbf stz $0200,x   [00022c] A:b1d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 366 F:15
c01cc2 inx                    A:b1d1 X:002c Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 398 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 410 F:15
c01cbf stz $0200,x   [00022d] A:b1d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 428 F:15
c01cc2 inx                    A:b1d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 460 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 472 F:15
c01cbf stz $0200,x   [00022e] A:b1d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 490 F:15
c01cc2 inx                    A:b1d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 522 F:15
c01cc3 bne $1cbf     [c01cbf] A:b1d1 X:002f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 534 F:15
c01cbf stz $0200,x   [00022f] A:b1d1 X:002f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V: 79 H: 592 F:15
