c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 460 F:15
c01cbf stz $0200,x   [00022d] A:b2d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 478 F:15
c01cc2 inx                    A:b2d1 X:002d Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 510 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 522 F:15
c01cbf stz $0200,x   [00022e] A:b2d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 580 F:15
c01cc2 inx                    A:b2d1 X:002e Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 612 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:002f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 624 F:15
c01cbf stz $0200,x   [00022f] A:b2d1 X:002f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 642 F:15
c01cc2 inx                    A:b2d1 X:002f Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 674 F:15
c01cc3 bne $1cbf     [c01cbf] A:b2d1 X:0030 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 686 F:15
c01cbf stz $0200,x   [000230] A:b2d1 X:0030 Y:0005 S:01e6 D:0000 DB:00 nvMXdizc V:146 H: 704 F:15
